,ID,Type,Name,DateAcquired,CurrentVal,BoughtFor,OwnedBy,Price,BuyDate,Acquisition_Date
0,1,Equity,AAPL,15.01.2020,1500,1200,101,1200,2020-01-15,15.01.2020
1,2,Fixed Income,USGB,10.03.2019,1000,1000,102,1000,2019-03-10,10.03.2019
2,3,Property,Condo DT,20.05.2018,200000,190000,103,190000,2018-05-20,20.05.2018
3,4,Equity,MSFT,18.02.2020,1300,1100,104,1100,2020-02-18,18.02.2020
4,5,Fixed Income,Corp Bond A,29.04.2019,1100,1100,105,1100,2019-04-29,29.04.2019
5,6,Equity,TSLA,01.01.2021,1700,1500,106,1500,2021-01-01,01.01.2021
6,7,Property,Beach Prop,15.06.2017,250000,240000,107,240000,2017-06-15,15.06.2017
7,8,Equity,AMZN,11.11.2020,1400,1200,108,1200,2020-11-11,11.11.2020
8,9,Fixed Income,Muni Bond,08.08.2019,1050,1050,109,1050,2019-08-08,08.08.2019
9,10,Equity,GOOGL,03.03.2021,1600,1400,110,1400,2021-03-03,03.03.2021
10,11,Property,House Suburb,07.07.2018,220000,210000,111,210000,2018-07-07,07.07.2018
11,12,Fixed Income,USGB,09.09.2019,1000,1000,112,1000,2019-09-09,09.09.2019
12,13,Equity,NFLX,10.10.2020,1200,1000,113,1000,2020-10-10,10.10.2020
13,14,Property,Office Prop,12.12.2017,300000,290000,114,290000,2017-12-12,12.12.2017
14,15,Equity,FB,02.02.2021,1550,1400,115,1400,2021-02-02,02.02.2021
15,16,Fixed Income,Corp Bond B,05.05.2019,1150,1150,116,1150,2019-05-05,05.05.2019
16,17,Equity,NVDA,06.06.2020,1800,1600,117,1600,2020-06-06,06.06.2020
17,18,Property,Farmhouse,04.04.2018,210000,200000,118,200000,2018-04-04,04.04.2018
18,19,Equity,ADBE,07.07.2021,1650,1500,119,1500,2021-07-07,07.07.2021
19,20,Fixed Income,USGB,11.11.2019,1000,1000,120,1000,2019-11-11,11.11.2019
