,ClaimID,PolicyHolderID,ClaimType,ClaimDate,ClaimAmount,ClaimStatus,AssignedAgentID
0,5001,101,Auto,2023-01-15,1000,Processed,201
1,5002,102,Home,2023-02-10,5000,Pending,202
2,5003,103,Health,2023-03-05,200,Processed,203
3,5004,104,Auto,2023-04-01,1500,Rejected,204
4,5005,105,Travel,2023-05-01,50,Processed,205
5,5006,106,Auto,2023-06-01,1200,Processed,206
6,5007,107,Home,2023-07-01,6000,Pending,207
7,5008,108,Health,2023-08-01,250,Processed,208
8,5009,109,Travel,2023-09-01,70,Rejected,209
9,5010,110,Auto,2023-10-01,1300,Processed,210
10,5011,111,Home,2023-11-01,5500,Pending,211
11,5012,112,Health,2023-12-01,220,Processed,212
12,5013,113,Travel,2024-01-01,90,Rejected,213
13,5014,114,Auto,2024-02-01,1400,Processed,214
14,5015,115,Home,2024-03-01,5200,Pending,215
15,5016,116,Health,2024-04-01,210,Processed,216
16,5017,117,Travel,2024-05-01,110,Rejected,217
17,5018,118,Auto,2024-06-01,1100,Processed,218
18,5019,119,Home,2024-07-01,5000,Pending,219
19,5020,120,Health,2024-08-01,200,Processed,220
