,ID,HolderID,TypeOfClaim,DateOfClaim,AmountClaimed,StatusOfClaim,AgentID
0,5001,101,Vehicle,15.01.2023,1000,Done,201
1,5002,102,Property,10.02.2023,5000,On Hold,202
2,5003,103,Medical,05.03.2023,200,Done,203
3,5004,104,Vehicle,01.04.2023,1500,Denied,204
4,5005,105,Journey,01.05.2023,50,Done,205
5,5006,106,Vehicle,01.06.2023,1200,Done,206
6,5007,107,Property,01.07.2023,6000,On Hold,207
7,5008,108,Medical,01.08.2023,250,Done,208
8,5009,109,Journey,01.09.2023,70,Denied,209
9,5010,110,Vehicle,01.10.2023,1300,Done,210
10,5011,111,Property,01.11.2023,5500,On Hold,211
11,5012,112,Medical,01.12.2023,220,Done,212
12,5013,113,Journey,01.01.2024,90,Denied,213
13,5014,114,Vehicle,01.02.2024,1400,Done,214
14,5015,115,Property,01.03.2024,5200,On Hold,215
15,5016,116,Medical,01.04.2024,210,Done,216
16,5017,117,Journey,01.05.2024,110,Denied,217
17,5018,118,Vehicle,01.06.2024,1100,Done,218
18,5019,119,Property,01.07.2024,5000,On Hold,219
19,5020,120,Medical,01.08.2024,200,Done,220
